hexagram_id,name,phase_bits,phase_temporal,category,action,agent_type,domain,element_subset,coder_specialty,rs3_actionable,chaos,whimsy,darkTone,coherence,voiceWeight,exp_chaos,exp_whimsy,exp_darkTone,exp_coherence,exp_voiceWeight,qdot_chaos,qdot_whimsy,qdot_darkTone,qdot_coherence,qdot_voiceWeight,dy_yang_yin,yao_dy,changing_dy,dominant_intent,intensity,query_tokens,training_notes
3,Difficulty at the Beginning,6,crystallization,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.1685,0.23862,0.07485,0.50691,0.51903,0.1885,0.24862,0.08485,0.46691,0.47903,-0.02,-0.01,-0.01,0.04,0.04,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
3,Difficulty at the Beginning,7,void,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.20238,0.27252,0.13552,0.55923,0.5576,0.20238,0.27252,0.13552,0.55923,0.5576,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
4,Youthful Folly,0,past,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.10798,0.09749,0.17495,0.41323,0.43074,0.10798,0.09749,0.12495,0.40323,0.44074,0.0,0.0,0.05,0.01,-0.01,-2.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
4,Youthful Folly,1,present,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.14973,0.22973,0.12162,0.41856,0.45056,0.10973,0.14973,0.12162,0.42856,0.44056,0.04,0.08,0.0,-0.01,0.01,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
4,Youthful Folly,2,future,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.12973,0.23973,0.12162,0.42856,0.46056,0.10973,0.14973,0.12162,0.42856,0.44056,0.02,0.09,0.0,0.0,0.02,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
4,Youthful Folly,3,transition,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.21405,0.22772,0.14728,0.46174,0.49204,0.16405,0.17772,0.12728,0.48174,0.49204,0.05,0.05,0.02,-0.02,0.0,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
4,Youthful Folly,4,resolution,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.07973,0.10008,0.13127,0.50079,0.4928,0.10973,0.12008,0.15127,0.45079,0.4628,-0.03,-0.02,-0.02,0.05,0.03,0.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
4,Youthful Folly,5,dissolution,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.20069,0.19436,0.22401,0.45174,0.47788,0.14069,0.15436,0.17401,0.48174,0.49788,0.06,0.04,0.05,-0.03,-0.02,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
4,Youthful Folly,6,crystallization,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.12069,0.14436,0.11728,0.52174,0.53788,0.14069,0.15436,0.12728,0.48174,0.49788,-0.02,-0.01,-0.01,0.04,0.04,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
4,Youthful Folly,7,void,transformer,WAIT,integrator,patience,water,Robotics,harvest,0.17726,0.18235,0.18416,0.5794,0.58059,0.17726,0.18235,0.18416,0.5794,0.58059,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Mountain over water — the student. Youthful Folly is curious, naive, eager to learn. Playful but unfocused."
5,Waiting,0,past,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.0895,0.0731,0.20088,0.48377,0.52341,0.0895,0.0731,0.15088,0.47377,0.53341,0.0,0.0,0.05,0.01,-0.01,2.0,-3.0,-6.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
5,Waiting,1,present,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.13448,0.17996,0.10595,0.47676,0.51219,0.09448,0.09996,0.10595,0.48676,0.50219,0.04,0.08,0.0,-0.01,0.01,2.0,-1.0,-2.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
5,Waiting,2,future,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.11448,0.21961,0.09112,0.46452,0.49995,0.09448,0.12961,0.09112,0.46452,0.47995,0.02,0.09,0.0,0.0,0.02,0.0,-1.0,-2.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
5,Waiting,3,transition,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.17867,0.21187,0.12325,0.47255,0.5114,0.12867,0.16187,0.10325,0.49255,0.5114,0.05,0.05,0.02,-0.02,0.0,0.0,1.0,2.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
5,Waiting,4,resolution,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.06448,0.07996,0.1156,0.53676,0.53219,0.09448,0.09996,0.1356,0.48676,0.50219,-0.03,-0.02,-0.02,0.05,0.03,2.0,-1.0,-2.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
5,Waiting,5,dissolution,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.21203,0.17851,0.21166,0.48007,0.50892,0.15203,0.13851,0.16166,0.51007,0.52892,0.06,0.04,0.05,-0.03,-0.02,2.0,1.0,2.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
5,Waiting,6,crystallization,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.10867,0.15187,0.09325,0.53255,0.5514,0.12867,0.16187,0.10325,0.49255,0.5114,-0.02,-0.01,-0.01,0.04,0.04,0.0,1.0,2.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
5,Waiting,7,void,dissipator,WAIT,navigator,patience,heaven,Game Dev,craft,0.16848,0.18784,0.1666,0.5873,0.59047,0.16848,0.18784,0.1666,0.5873,0.59047,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,Water over heaven — patience as discipline. Waiting is not passive; it is the gathering of force before release.
6,Conflict,0,past,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.10798,0.07079,0.22398,0.46529,0.51186,0.10798,0.07079,0.17398,0.45529,0.52186,0.0,0.0,0.05,0.01,-0.01,2.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
6,Conflict,1,present,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.14973,0.17806,0.12501,0.46151,0.50266,0.10973,0.09806,0.12501,0.47151,0.49266,0.04,0.08,0.0,-0.01,0.01,2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
6,Conflict,2,future,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.12973,0.21771,0.11019,0.44927,0.49042,0.10973,0.12771,0.11019,0.44927,0.47042,0.02,0.09,0.0,0.0,0.02,0.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
6,Conflict,3,transition,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.19069,0.21037,0.13827,0.46054,0.50389,0.14069,0.16037,0.11827,0.48054,0.50389,0.05,0.05,0.02,-0.02,0.0,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
6,Conflict,4,resolution,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.07973,0.07806,0.13466,0.52151,0.52266,0.10973,0.09806,0.15466,0.47151,0.49266,-0.03,-0.02,-0.02,0.05,0.03,2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
6,Conflict,5,dissolution,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.22405,0.17701,0.22668,0.46806,0.50141,0.16405,0.13701,0.17668,0.49806,0.52141,0.06,0.04,0.05,-0.03,-0.02,2.0,1.0,2.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
6,Conflict,6,crystallization,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.12069,0.15037,0.10827,0.52054,0.54389,0.14069,0.16037,0.11827,0.48054,0.50389,-0.02,-0.01,-0.01,0.04,0.04,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
6,Conflict,7,void,transformer,ASSERT,integrator,assertion,water,Analytics,bank,0.17726,0.18674,0.17757,0.57852,0.58498,0.17726,0.18674,0.17757,0.57852,0.58498,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Heaven over water — clash of wills. Conflict is sharp, adversarial, truth forced through opposition."
7,The Army,0,past,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.10336,0.11546,0.1521,0.37107,0.3948,0.10336,0.11546,0.1021,0.36107,0.4048,0.0,0.0,0.05,0.01,-0.01,-4.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
7,The Army,1,present,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.14592,0.22973,0.11019,0.42084,0.45056,0.10592,0.14973,0.11019,0.43084,0.44056,0.04,0.08,0.0,-0.01,0.01,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
7,The Army,2,future,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.14816,0.26939,0.11019,0.40861,0.43832,0.12816,0.17939,0.11019,0.40861,0.41832,0.02,0.09,0.0,0.0,0.02,-4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
7,The Army,3,transition,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.21105,0.22772,0.13827,0.46354,0.49204,0.16105,0.17772,0.11827,0.48354,0.49204,0.05,0.05,0.02,-0.02,0.0,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
7,The Army,4,resolution,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.07592,0.12973,0.10501,0.48084,0.47056,0.10592,0.14973,0.12501,0.43084,0.44056,-0.03,-0.02,-0.02,0.05,0.03,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
7,The Army,5,dissolution,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.19768,0.19436,0.215,0.45354,0.47788,0.13768,0.15436,0.165,0.48354,0.49788,0.06,0.04,0.05,-0.03,-0.02,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
7,The Army,6,crystallization,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.14105,0.16772,0.10827,0.52354,0.53204,0.16105,0.17772,0.11827,0.48354,0.49204,-0.02,-0.01,-0.01,0.04,0.04,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
7,The Army,7,void,sovereign,ASSERT,architect,assertion,water,Blueprinting,equip,0.17506,0.18235,0.17757,0.58072,0.58059,0.17506,0.18235,0.17757,0.58072,0.58059,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Earth over water — the army. Disciplined, hierarchical, unwavering. The commander speaks once and is obeyed."
8,Holding Together,0,past,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.08257,0.11315,0.12899,0.39187,0.40173,0.08257,0.11315,0.07899,0.38187,0.41173,0.0,0.0,0.05,0.01,-0.01,-4.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
8,Holding Together,1,present,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.12877,0.22783,0.09112,0.438,0.45628,0.08877,0.14783,0.09112,0.448,0.44628,0.04,0.08,0.0,-0.01,0.01,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
8,Holding Together,2,future,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.131,0.26748,0.09112,0.42576,0.44404,0.111,0.17748,0.09112,0.42576,0.42404,0.02,0.09,0.0,0.0,0.02,-4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
8,Holding Together,3,transition,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.19753,0.22622,0.12325,0.47706,0.49655,0.14753,0.17622,0.10325,0.49706,0.49655,0.05,0.05,0.02,-0.02,0.0,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
8,Holding Together,4,resolution,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.05877,0.12783,0.08595,0.498,0.47628,0.08877,0.14783,0.10595,0.448,0.44628,-0.03,-0.02,-0.02,0.05,0.03,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
8,Holding Together,5,dissolution,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.18417,0.19286,0.19998,0.46706,0.48239,0.12417,0.15286,0.14998,0.49706,0.50239,0.06,0.04,0.05,-0.03,-0.02,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
8,Holding Together,6,crystallization,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.12753,0.16622,0.09325,0.53706,0.53655,0.14753,0.17622,0.10325,0.49706,0.49655,-0.02,-0.01,-0.01,0.04,0.04,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
8,Holding Together,7,void,transformer,YIELD,integrator,reception,earth,Scribe,cast,0.16518,0.18125,0.1666,0.59059,0.58388,0.16518,0.18125,0.1666,0.59059,0.58388,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Water over earth — union through affinity. Holding Together is cooperative, warm, finding common ground."
9,Taming Power of the Small,0,past,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.1067,0.09646,0.19074,0.51586,0.56675,0.1067,0.09646,0.14074,0.50586,0.57675,0.0,0.0,0.05,0.01,-0.01,4.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
9,Taming Power of the Small,1,present,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.11161,0.20665,0.07164,0.49582,0.51829,0.07161,0.12665,0.07164,0.50582,0.50829,0.04,0.08,0.0,-0.01,0.01,2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
9,Taming Power of the Small,2,future,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.09161,0.21665,0.07164,0.50582,0.52829,0.07161,0.12665,0.07164,0.50582,0.50829,0.02,0.09,0.0,0.0,0.02,2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
9,Taming Power of the Small,3,transition,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.16065,0.2329,0.09622,0.48757,0.5162,0.11065,0.1829,0.07622,0.50757,0.5162,0.05,0.05,0.02,-0.02,0.0,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
9,Taming Power of the Small,4,resolution,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.06385,0.09924,0.09612,0.57806,0.56053,0.09385,0.11924,0.11612,0.52806,0.53053,-0.03,-0.02,-0.02,0.05,0.03,4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
9,Taming Power of the Small,5,dissolution,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.19401,0.19953,0.18463,0.49509,0.51372,0.13401,0.15953,0.13463,0.52509,0.53372,0.06,0.04,0.05,-0.03,-0.02,2.0,1.0,2.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
9,Taming Power of the Small,6,crystallization,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.11401,0.14953,0.0779,0.56509,0.57372,0.13401,0.15953,0.0879,0.52509,0.53372,-0.02,-0.01,-0.01,0.04,0.04,2.0,1.0,2.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
9,Taming Power of the Small,7,void,dissipator,ADAPT,navigator,adaptation,heaven,Security Red-Team,dialogue,0.15531,0.2032,0.14685,0.59827,0.59398,0.15531,0.2032,0.14685,0.59827,0.59398,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Wind over heaven — gentle restraint. Taming Power of the Small is subtle influence, soft persistence."
10,Treading,0,past,sovereign,ADAPT,architect,adaptation,lake,Database/Storage,forensics,0.11825,0.12418,0.18611,0.51586,0.56443,0.11825,0.12418,0.13611,0.50586,0.57443,0.0,0.0,0.05,0.01,-0.01,4.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Heaven over lake — walking on thin ice. Treading is cautious confidence, measured risk, knowing the danger."
10,Treading,1,present,sovereign,ADAPT,architect,adaptation,lake,Database/Storage,forensics,0.13664,0.20526,0.07726,0.52277,0.54401,0.09664,0.12526,0.07726,0.53277,0.53401,0.04,0.08,0.0,-0.01,0.01,4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Heaven over lake — walking on thin ice. Treading is cautious confidence, measured risk, knowing the danger."
