from_id,from_name,from_binary,to_id,to_name,to_binary,changed_line,line_position
48,The Well,011010,28,Preponderance of the Great,011110,3,lower
48,The Well,011010,46,Pushing Upward,011000,2,lower
48,The Well,011010,57,The Gentle,011011,1,lower
49,Revolution,101110,31,Influence,001110,6,upper
49,Revolution,101110,43,Breakthrough,111110,5,upper
49,Revolution,101110,17,Following,100110,4,upper
49,Revolution,101110,63,After Completion,101010,3,lower
49,Revolution,101110,56,The Wanderer,101100,2,lower
49,Revolution,101110,13,Fellowship with Men,101111,1,lower
50,The Cauldron,011101,14,Possession in Great Measure,111101,6,upper
50,The Cauldron,011101,55,Abundance,001101,5,upper
50,The Cauldron,011101,64,Before Completion,010101,4,upper
50,The Cauldron,011101,18,Work on Decayed,011001,3,lower
50,The Cauldron,011101,44,Coming to Meet,011111,2,lower
50,The Cauldron,011101,32,Duration,011100,1,lower
51,The Arousing,100100,16,Enthusiasm,000100,6,upper
51,The Arousing,100100,54,The Marrying Maiden,110100,5,upper
51,The Arousing,100100,56,The Wanderer,101100,4,upper
51,The Arousing,100100,24,Return,100000,3,lower
51,The Arousing,100100,17,Following,100110,2,lower
51,The Arousing,100100,21,Biting Through,100101,1,lower
52,Keeping Still,001001,22,Grace,101001,6,upper
52,Keeping Still,001001,18,Work on Decayed,011001,5,upper
52,Keeping Still,001001,23,Splitting Apart,000001,4,upper
52,Keeping Still,001001,55,Abundance,001101,3,lower
52,Keeping Still,001001,53,Development,001011,2,lower
52,Keeping Still,001001,15,Modesty,001000,1,lower
53,Development,001011,37,The Family,101011,6,upper
53,Development,001011,57,The Gentle,011011,5,upper
53,Development,001011,20,Contemplation,000011,4,upper
53,Development,001011,33,Retreat,001111,3,lower
53,Development,001011,52,Keeping Still,001001,2,lower
53,Development,001011,40,Deliverance,001010,1,lower
54,The Marrying Maiden,110100,39,Obstruction,010100,6,upper
54,The Marrying Maiden,110100,51,The Arousing,100100,5,upper
54,The Marrying Maiden,110100,34,Power of the Great,111100,4,upper
54,The Marrying Maiden,110100,19,Approach,110000,3,lower
54,The Marrying Maiden,110100,58,The Joyous,110110,2,lower
54,The Marrying Maiden,110100,38,Opposition,110101,1,lower
55,Abundance,001101,30,The Clinging,101101,6,upper
55,Abundance,001101,50,The Cauldron,011101,5,upper
55,Abundance,001101,35,Progress,000101,4,upper
55,Abundance,001101,52,Keeping Still,001001,3,lower
55,Abundance,001101,33,Retreat,001111,2,lower
55,Abundance,001101,62,Preponderance of the Small,001100,1,lower
56,The Wanderer,101100,62,Preponderance of the Small,001100,6,upper
56,The Wanderer,101100,34,Power of the Great,111100,5,upper
56,The Wanderer,101100,51,The Arousing,100100,4,upper
56,The Wanderer,101100,36,Darkening of the Light,101000,3,lower
56,The Wanderer,101100,49,Revolution,101110,2,lower
56,The Wanderer,101100,30,The Clinging,101101,1,lower
57,The Gentle,011011,10,Treading,111011,6,upper
57,The Gentle,011011,53,Development,001011,5,upper
57,The Gentle,011011,59,Dispersion,010011,4,upper
57,The Gentle,011011,44,Coming to Meet,011111,3,lower
57,The Gentle,011011,18,Work on Decayed,011001,2,lower
57,The Gentle,011011,48,The Well,011010,1,lower
58,The Joyous,110110,47,Oppression,010110,6,upper
58,The Joyous,110110,17,Following,100110,5,upper
58,The Joyous,110110,43,Breakthrough,111110,4,upper
58,The Joyous,110110,60,Limitation,110010,3,lower
58,The Joyous,110110,54,The Marrying Maiden,110100,2,lower
58,The Joyous,110110,9,Taming Power of the Small,110111,1,lower
59,Dispersion,010011,61,Inner Truth,110011,6,upper
59,Dispersion,010011,20,Contemplation,000011,5,upper
59,Dispersion,010011,57,The Gentle,011011,4,upper
59,Dispersion,010011,5,Waiting,010111,3,lower
59,Dispersion,010011,3,Difficulty at the Beginning,010001,2,lower
59,Dispersion,010011,29,The Abysmal,010010,1,lower
60,Limitation,110010,29,The Abysmal,010010,6,upper
60,Limitation,110010,4,Youthful Folly,100010,5,upper
60,Limitation,110010,6,Conflict,111010,4,upper
60,Limitation,110010,58,The Joyous,110110,3,lower
60,Limitation,110010,19,Approach,110000,2,lower
60,Limitation,110010,61,Inner Truth,110011,1,lower
61,Inner Truth,110011,59,Dispersion,010011,6,upper
61,Inner Truth,110011,41,Decrease,100011,5,upper
61,Inner Truth,110011,10,Treading,111011,4,upper
61,Inner Truth,110011,9,Taming Power of the Small,110111,3,lower
61,Inner Truth,110011,42,Increase,110001,2,lower
61,Inner Truth,110011,60,Limitation,110010,1,lower
62,Preponderance of the Small,001100,56,The Wanderer,101100,6,upper
62,Preponderance of the Small,001100,32,Duration,011100,5,upper
62,Preponderance of the Small,001100,16,Enthusiasm,000100,4,upper
62,Preponderance of the Small,001100,15,Modesty,001000,3,lower
62,Preponderance of the Small,001100,31,Influence,001110,2,lower
62,Preponderance of the Small,001100,55,Abundance,001101,1,lower
63,After Completion,101010,40,Deliverance,001010,6,upper
63,After Completion,101010,6,Conflict,111010,5,upper
63,After Completion,101010,4,Youthful Folly,100010,4,upper
63,After Completion,101010,49,Revolution,101110,3,lower
63,After Completion,101010,36,Darkening of the Light,101000,2,lower
63,After Completion,101010,37,The Family,101011,1,lower
64,Before Completion,010101,38,Opposition,110101,6,upper
64,Before Completion,010101,35,Progress,000101,5,upper
64,Before Completion,010101,50,The Cauldron,011101,4,upper
64,Before Completion,010101,3,Difficulty at the Beginning,010001,3,lower
64,Before Completion,010101,5,Waiting,010111,2,lower
64,Before Completion,010101,39,Obstruction,010100,1,lower
