hexagram_id,hexagram_name,line_number,position,trigram,base_state,ternary_state,category,hexagram_binary
12,Standstill,6,upper,Kun,yang,yang,boundary,111000
12,Standstill,5,upper,Kun,yang,yang,boundary,111000
12,Standstill,4,upper,Kun,yang,yang,boundary,111000
12,Standstill,3,lower,Qian,yin,yin,boundary,111000
12,Standstill,2,lower,Qian,yin,yin,boundary,111000
12,Standstill,1,lower,Qian,yin,yin,boundary,111000
13,Fellowship with Men,6,upper,Qian,yang,yang,transformer,101111
13,Fellowship with Men,5,upper,Qian,yin,yin,transformer,101111
13,Fellowship with Men,4,upper,Qian,yang,yang,transformer,101111
13,Fellowship with Men,3,lower,Li,yang,yang,transformer,101111
13,Fellowship with Men,2,lower,Li,yang,yang,transformer,101111
13,Fellowship with Men,1,lower,Li,yang,yang,transformer,101111
14,Possession in Great Measure,6,upper,Li,yang,yang,sovereign,111101
14,Possession in Great Measure,5,upper,Li,yang,yang,sovereign,111101
14,Possession in Great Measure,4,upper,Li,yang,yang,sovereign,111101
14,Possession in Great Measure,3,lower,Qian,yang,yang,sovereign,111101
14,Possession in Great Measure,2,lower,Qian,yin,yin,sovereign,111101
14,Possession in Great Measure,1,lower,Qian,yang,yang,sovereign,111101
15,Modesty,6,upper,Kun,yin,yin,transformer,001000
15,Modesty,5,upper,Kun,yin,yin,transformer,001000
15,Modesty,4,upper,Kun,yang,yang,transformer,001000
15,Modesty,3,lower,Gen,yin,yin,transformer,001000
15,Modesty,2,lower,Gen,yin,yin,transformer,001000
15,Modesty,1,lower,Gen,yin,yin,transformer,001000
16,Enthusiasm,6,upper,Zhen,yin,yao,dissipator,000100
16,Enthusiasm,5,upper,Zhen,yin,yin,dissipator,000100
16,Enthusiasm,4,upper,Zhen,yin,yin,dissipator,000100
16,Enthusiasm,3,lower,Kun,yang,yang,dissipator,000100
16,Enthusiasm,2,lower,Kun,yin,yao,dissipator,000100
16,Enthusiasm,1,lower,Kun,yin,yin,dissipator,000100
17,Following,6,upper,Zhen,yang,yang,transformer,100110
17,Following,5,upper,Zhen,yin,yin,transformer,100110
17,Following,4,upper,Zhen,yin,yin,transformer,100110
17,Following,3,lower,Dui,yang,yang,transformer,100110
17,Following,2,lower,Dui,yang,yang,transformer,100110
17,Following,1,lower,Dui,yin,yin,transformer,100110
18,Work on Decayed,6,upper,Xun,yin,yin,dissipator,011001
18,Work on Decayed,5,upper,Xun,yang,yang,dissipator,011001
18,Work on Decayed,4,upper,Xun,yang,yang,dissipator,011001
18,Work on Decayed,3,lower,Gen,yin,yao,dissipator,011001
18,Work on Decayed,2,lower,Gen,yin,yin,dissipator,011001
18,Work on Decayed,1,lower,Gen,yang,yang,dissipator,011001
19,Approach,6,upper,Kun,yang,yang,transformer,110000
19,Approach,5,upper,Kun,yang,yang,transformer,110000
19,Approach,4,upper,Kun,yin,yin,transformer,110000
19,Approach,3,lower,Dui,yin,yin,transformer,110000
19,Approach,2,lower,Dui,yin,yin,transformer,110000
19,Approach,1,lower,Dui,yin,yin,transformer,110000
20,Contemplation,6,upper,Xun,yin,yin,boundary,000011
20,Contemplation,5,upper,Xun,yin,yin,boundary,000011
20,Contemplation,4,upper,Xun,yin,yin,boundary,000011
20,Contemplation,3,lower,Kun,yin,yin,boundary,000011
20,Contemplation,2,lower,Kun,yang,yang,boundary,000011
20,Contemplation,1,lower,Kun,yang,yang,boundary,000011
21,Biting Through,6,upper,Zhen,yang,yang,transformer,100101
21,Biting Through,5,upper,Zhen,yin,yin,transformer,100101
21,Biting Through,4,upper,Zhen,yin,yin,transformer,100101
21,Biting Through,3,lower,Li,yang,yang,transformer,100101
21,Biting Through,2,lower,Li,yin,yin,transformer,100101
21,Biting Through,1,lower,Li,yang,yang,transformer,100101
22,Grace,6,upper,Li,yang,yang,boundary,101001
22,Grace,5,upper,Li,yin,yin,boundary,101001
22,Grace,4,upper,Li,yang,yang,boundary,101001
22,Grace,3,lower,Gen,yin,yin,boundary,101001
22,Grace,2,lower,Gen,yin,yin,boundary,101001
22,Grace,1,lower,Gen,yang,yang,boundary,101001
23,Splitting Apart,6,upper,Kun,yin,yin,dissipator,000001
23,Splitting Apart,5,upper,Kun,yin,yin,dissipator,000001
23,Splitting Apart,4,upper,Kun,yin,yin,dissipator,000001
23,Splitting Apart,3,lower,Gen,yin,yin,dissipator,000001
23,Splitting Apart,2,lower,Gen,yin,yao,dissipator,000001
23,Splitting Apart,1,lower,Gen,yang,yang,dissipator,000001
24,Return,6,upper,Zhen,yang,yang,transformer,100000
24,Return,5,upper,Zhen,yin,yin,transformer,100000
24,Return,4,upper,Zhen,yin,yin,transformer,100000
24,Return,3,lower,Kun,yin,yin,transformer,100000
24,Return,2,lower,Kun,yin,yin,transformer,100000
24,Return,1,lower,Kun,yin,yin,transformer,100000
25,Innocence,6,upper,Zhen,yang,yang,sovereign,100111
25,Innocence,5,upper,Zhen,yin,yin,sovereign,100111
25,Innocence,4,upper,Zhen,yin,yin,sovereign,100111
25,Innocence,3,lower,Qian,yang,yang,sovereign,100111
25,Innocence,2,lower,Qian,yang,yang,sovereign,100111
25,Innocence,1,lower,Qian,yang,yang,sovereign,100111
26,Taming Power of the Great,6,upper,Qian,yang,yang,boundary,111001
26,Taming Power of the Great,5,upper,Qian,yang,yang,boundary,111001
26,Taming Power of the Great,4,upper,Qian,yang,yang,boundary,111001
26,Taming Power of the Great,3,lower,Gen,yin,yin,boundary,111001
26,Taming Power of the Great,2,lower,Gen,yin,yin,boundary,111001
26,Taming Power of the Great,1,lower,Gen,yang,yang,boundary,111001
27,Corners of the Mouth,6,upper,Zhen,yang,yang,transformer,100001
27,Corners of the Mouth,5,upper,Zhen,yin,yin,transformer,100001
27,Corners of the Mouth,4,upper,Zhen,yin,yin,transformer,100001
27,Corners of the Mouth,3,lower,Gen,yin,yin,transformer,100001
27,Corners of the Mouth,2,lower,Gen,yin,yin,transformer,100001
27,Corners of the Mouth,1,lower,Gen,yang,yang,transformer,100001
28,Preponderance of the Great,6,upper,Xun,yin,yao,dissipator,011110
28,Preponderance of the Great,5,upper,Xun,yang,yao,dissipator,011110
28,Preponderance of the Great,4,upper,Xun,yang,yang,dissipator,011110
28,Preponderance of the Great,3,lower,Dui,yang,yang,dissipator,011110
28,Preponderance of the Great,2,lower,Dui,yang,yang,dissipator,011110
28,Preponderance of the Great,1,lower,Dui,yin,yin,dissipator,011110
29,The Abysmal,6,upper,Kan,yin,yin,dissipator,010010
29,The Abysmal,5,upper,Kan,yang,yang,dissipator,010010
29,The Abysmal,4,upper,Kan,yin,yin,dissipator,010010
29,The Abysmal,3,lower,Kan,yin,yin,dissipator,010010
29,The Abysmal,2,lower,Kan,yang,yang,dissipator,010010
29,The Abysmal,1,lower,Kan,yin,yin,dissipator,010010
30,The Clinging,6,upper,Li,yang,yang,boundary,101101
30,The Clinging,5,upper,Li,yin,yin,boundary,101101
30,The Clinging,4,upper,Li,yang,yang,boundary,101101
30,The Clinging,3,lower,Li,yang,yang,boundary,101101
30,The Clinging,2,lower,Li,yin,yin,boundary,101101
30,The Clinging,1,lower,Li,yang,yang,boundary,101101
31,Influence,6,upper,Gen,yin,yin,transformer,001110
31,Influence,5,upper,Gen,yin,yin,transformer,001110
31,Influence,4,upper,Gen,yang,yang,transformer,001110
31,Influence,3,lower,Dui,yang,yang,transformer,001110
31,Influence,2,lower,Dui,yang,yang,transformer,001110
31,Influence,1,lower,Dui,yin,yin,transformer,001110
32,Duration,6,upper,Xun,yin,yin,boundary,011100
32,Duration,5,upper,Xun,yang,yang,boundary,011100
32,Duration,4,upper,Xun,yang,yang,boundary,011100
32,Duration,3,lower,Zhen,yang,yang,boundary,011100
32,Duration,2,lower,Zhen,yin,yin,boundary,011100
32,Duration,1,lower,Zhen,yin,yin,boundary,011100
33,Retreat,6,upper,Gen,yin,yin,boundary,001111
33,Retreat,5,upper,Gen,yin,yin,boundary,001111
33,Retreat,4,upper,Gen,yang,yang,boundary,001111
33,Retreat,3,lower,Qian,yang,yang,boundary,001111
33,Retreat,2,lower,Qian,yang,yang,boundary,001111
33,Retreat,1,lower,Qian,yang,yang,boundary,001111
34,Power of the Great,6,upper,Qian,yang,yang,sovereign,111100
34,Power of the Great,5,upper,Qian,yang,yang,sovereign,111100
34,Power of the Great,4,upper,Qian,yang,yang,sovereign,111100
34,Power of the Great,3,lower,Zhen,yang,yang,sovereign,111100
34,Power of the Great,2,lower,Zhen,yin,yin,sovereign,111100
34,Power of the Great,1,lower,Zhen,yin,yin,sovereign,111100
35,Progress,6,upper,Kun,yin,yin,transformer,000101
35,Progress,5,upper,Kun,yin,yin,transformer,000101
35,Progress,4,upper,Kun,yin,yin,transformer,000101
35,Progress,3,lower,Li,yang,yang,transformer,000101
35,Progress,2,lower,Li,yin,yin,transformer,000101
35,Progress,1,lower,Li,yang,yang,transformer,000101
36,Darkening of the Light,6,upper,Li,yang,yao,dissipator,101000
36,Darkening of the Light,5,upper,Li,yin,yin,dissipator,101000
36,Darkening of the Light,4,upper,Li,yang,yao,dissipator,101000
36,Darkening of the Light,3,lower,Kun,yin,yin,dissipator,101000
36,Darkening of the Light,2,lower,Kun,yin,yin,dissipator,101000
36,Darkening of the Light,1,lower,Kun,yin,yin,dissipator,101000
37,The Family,6,upper,Li,yang,yang,transformer,101011
37,The Family,5,upper,Li,yin,yin,transformer,101011
37,The Family,4,upper,Li,yang,yang,transformer,101011
37,The Family,3,lower,Xun,yin,yin,transformer,101011
37,The Family,2,lower,Xun,yang,yang,transformer,101011
37,The Family,1,lower,Xun,yang,yang,transformer,101011
38,Opposition,6,upper,Dui,yang,yao,dissipator,110101
38,Opposition,5,upper,Dui,yang,yao,dissipator,110101
38,Opposition,4,upper,Dui,yin,yin,dissipator,110101
38,Opposition,3,lower,Li,yang,yang,dissipator,110101
38,Opposition,2,lower,Li,yin,yin,dissipator,110101
38,Opposition,1,lower,Li,yang,yao,dissipator,110101
39,Obstruction,6,upper,Gen,yin,yin,dissipator,010100
39,Obstruction,5,upper,Gen,yang,yao,dissipator,010100
39,Obstruction,4,upper,Gen,yin,yin,dissipator,010100
39,Obstruction,3,lower,Kan,yang,yao,dissipator,010100
39,Obstruction,2,lower,Kan,yin,yao,dissipator,010100
39,Obstruction,1,lower,Kan,yin,yin,dissipator,010100
40,Deliverance,6,upper,Kan,yin,yin,transformer,001010
40,Deliverance,5,upper,Kan,yin,yin,transformer,001010
40,Deliverance,4,upper,Kan,yang,yang,transformer,001010
40,Deliverance,3,lower,Zhen,yin,yin,transformer,001010
40,Deliverance,2,lower,Zhen,yang,yang,transformer,001010
40,Deliverance,1,lower,Zhen,yin,yin,transformer,001010
41,Decrease,6,upper,Dui,yang,yang,transformer,100011
41,Decrease,5,upper,Dui,yin,yin,transformer,100011
41,Decrease,4,upper,Dui,yin,yin,transformer,100011
41,Decrease,3,lower,Gen,yin,yin,transformer,100011
41,Decrease,2,lower,Gen,yang,yang,transformer,100011
41,Decrease,1,lower,Gen,yang,yang,transformer,100011
42,Increase,6,upper,Zhen,yang,yang,transformer,110001
42,Increase,5,upper,Zhen,yang,yang,transformer,110001
42,Increase,4,upper,Zhen,yin,yin,transformer,110001
42,Increase,3,lower,Xun,yin,yin,transformer,110001
42,Increase,2,lower,Xun,yin,yin,transformer,110001
42,Increase,1,lower,Xun,yang,yang,transformer,110001
43,Breakthrough,6,upper,Qian,yang,yang,sovereign,111110
43,Breakthrough,5,upper,Qian,yang,yang,sovereign,111110
43,Breakthrough,4,upper,Qian,yang,yang,sovereign,111110
43,Breakthrough,3,lower,Dui,yang,yang,sovereign,111110
43,Breakthrough,2,lower,Dui,yang,yang,sovereign,111110
43,Breakthrough,1,lower,Dui,yin,yin,sovereign,111110
44,Coming to Meet,6,upper,Xun,yin,yin,boundary,011111
44,Coming to Meet,5,upper,Xun,yang,yang,boundary,011111
44,Coming to Meet,4,upper,Xun,yang,yang,boundary,011111
44,Coming to Meet,3,lower,Qian,yang,yang,boundary,011111
44,Coming to Meet,2,lower,Qian,yang,yang,boundary,011111
44,Coming to Meet,1,lower,Qian,yang,yang,boundary,011111
45,Gathering Together,6,upper,Kun,yin,yin,transformer,000110
45,Gathering Together,5,upper,Kun,yin,yin,transformer,000110
45,Gathering Together,4,upper,Kun,yin,yin,transformer,000110
45,Gathering Together,3,lower,Dui,yang,yang,transformer,000110
45,Gathering Together,2,lower,Dui,yang,yang,transformer,000110
45,Gathering Together,1,lower,Dui,yin,yin,transformer,000110
46,Pushing Upward,6,upper,Xun,yin,yin,transformer,011000
46,Pushing Upward,5,upper,Xun,yang,yang,transformer,011000
46,Pushing Upward,4,upper,Xun,yang,yang,transformer,011000
46,Pushing Upward,3,lower,Kun,yin,yin,transformer,011000
46,Pushing Upward,2,lower,Kun,yin,yin,transformer,011000
46,Pushing Upward,1,lower,Kun,yin,yin,transformer,011000
47,Oppression,6,upper,Kan,yin,yin,dissipator,010110
47,Oppression,5,upper,Kan,yang,yang,dissipator,010110
47,Oppression,4,upper,Kan,yin,yao,dissipator,010110
47,Oppression,3,lower,Dui,yang,yang,dissipator,010110
47,Oppression,2,lower,Dui,yang,yang,dissipator,010110
47,Oppression,1,lower,Dui,yin,yin,dissipator,010110
48,The Well,6,upper,Xun,yin,yin,boundary,011010
48,The Well,5,upper,Xun,yang,yang,boundary,011010
48,The Well,4,upper,Xun,yang,yang,boundary,011010
48,The Well,3,lower,Kan,yin,yin,boundary,011010
48,The Well,2,lower,Kan,yang,yang,boundary,011010
48,The Well,1,lower,Kan,yin,yin,boundary,011010
49,Revolution,6,upper,Li,yang,yang,transformer,101110
49,Revolution,5,upper,Li,yin,yin,transformer,101110
49,Revolution,4,upper,Li,yang,yang,transformer,101110
49,Revolution,3,lower,Dui,yang,yang,transformer,101110
49,Revolution,2,lower,Dui,yang,yang,transformer,101110
49,Revolution,1,lower,Dui,yin,yin,transformer,101110
50,The Cauldron,6,upper,Xun,yin,yin,sovereign,011101
50,The Cauldron,5,upper,Xun,yang,yang,sovereign,011101
50,The Cauldron,4,upper,Xun,yang,yang,sovereign,011101
50,The Cauldron,3,lower,Li,yang,yang,sovereign,011101
50,The Cauldron,2,lower,Li,yin,yin,sovereign,011101
50,The Cauldron,1,lower,Li,yang,yang,sovereign,011101
51,The Arousing,6,upper,Zhen,yang,yang,sovereign,100100
51,The Arousing,5,upper,Zhen,yin,yin,sovereign,100100
51,The Arousing,4,upper,Zhen,yin,yin,sovereign,100100
51,The Arousing,3,lower,Zhen,yang,yang,sovereign,100100
51,The Arousing,2,lower,Zhen,yin,yin,sovereign,100100
51,The Arousing,1,lower,Zhen,yin,yin,sovereign,100100
52,Keeping Still,6,upper,Gen,yin,yin,boundary,001001
52,Keeping Still,5,upper,Gen,yin,yin,boundary,001001
52,Keeping Still,4,upper,Gen,yang,yang,boundary,001001
52,Keeping Still,3,lower,Gen,yin,yin,boundary,001001
52,Keeping Still,2,lower,Gen,yin,yin,boundary,001001
52,Keeping Still,1,lower,Gen,yang,yang,boundary,001001
53,Development,6,upper,Gen,yin,yin,transformer,001011
53,Development,5,upper,Gen,yin,yin,transformer,001011
53,Development,4,upper,Gen,yang,yang,transformer,001011
53,Development,3,lower,Xun,yin,yin,transformer,001011
53,Development,2,lower,Xun,yang,yang,transformer,001011
53,Development,1,lower,Xun,yang,yang,transformer,001011
54,The Marrying Maiden,6,upper,Dui,yang,yang,dissipator,110100
54,The Marrying Maiden,5,upper,Dui,yang,yang,dissipator,110100
54,The Marrying Maiden,4,upper,Dui,yin,yin,dissipator,110100
54,The Marrying Maiden,3,lower,Zhen,yang,yang,dissipator,110100
54,The Marrying Maiden,2,lower,Zhen,yin,yin,dissipator,110100
54,The Marrying Maiden,1,lower,Zhen,yin,yin,dissipator,110100
55,Abundance,6,upper,Li,yin,yin,sovereign,001101
55,Abundance,5,upper,Li,yin,yin,sovereign,001101
55,Abundance,4,upper,Li,yang,yang,sovereign,001101
55,Abundance,3,lower,Zhen,yang,yang,sovereign,001101
55,Abundance,2,lower,Zhen,yin,yin,sovereign,001101
55,Abundance,1,lower,Zhen,yang,yang,sovereign,001101
56,The Wanderer,6,upper,Gen,yang,yao,dissipator,101100
56,The Wanderer,5,upper,Gen,yin,yao,dissipator,101100
56,The Wanderer,4,upper,Gen,yang,yang,dissipator,101100
56,The Wanderer,3,lower,Li,yang,yang,dissipator,101100
56,The Wanderer,2,lower,Li,yin,yin,dissipator,101100
56,The Wanderer,1,lower,Li,yin,yao,dissipator,101100
57,The Gentle,6,upper,Xun,yin,yin,boundary,011011
57,The Gentle,5,upper,Xun,yang,yang,boundary,011011
57,The Gentle,4,upper,Xun,yang,yang,boundary,011011
57,The Gentle,3,lower,Xun,yin,yin,boundary,011011
57,The Gentle,2,lower,Xun,yang,yang,boundary,011011
57,The Gentle,1,lower,Xun,yang,yang,boundary,011011
58,The Joyous,6,upper,Dui,yang,yang,transformer,110110
58,The Joyous,5,upper,Dui,yang,yang,transformer,110110
58,The Joyous,4,upper,Dui,yin,yin,transformer,110110
58,The Joyous,3,lower,Dui,yang,yang,transformer,110110
58,The Joyous,2,lower,Dui,yang,yang,transformer,110110
58,The Joyous,1,lower,Dui,yin,yin,transformer,110110
59,Dispersion,6,upper,Kan,yin,yao,dissipator,010011
59,Dispersion,5,upper,Kan,yang,yang,dissipator,010011
59,Dispersion,4,upper,Kan,yin,yin,dissipator,010011
59,Dispersion,3,lower,Xun,yin,yao,dissipator,010011
59,Dispersion,2,lower,Xun,yang,yang,dissipator,010011
59,Dispersion,1,lower,Xun,yang,yao,dissipator,010011
60,Limitation,6,upper,Dui,yang,yang,boundary,110010
60,Limitation,5,upper,Dui,yang,yang,boundary,110010
60,Limitation,4,upper,Dui,yin,yin,boundary,110010
60,Limitation,3,lower,Kan,yin,yin,boundary,110010
60,Limitation,2,lower,Kan,yang,yang,boundary,110010
60,Limitation,1,lower,Kan,yin,yin,boundary,110010
61,Inner Truth,6,upper,Dui,yang,yang,transformer,110011
61,Inner Truth,5,upper,Dui,yang,yang,transformer,110011
61,Inner Truth,4,upper,Dui,yin,yin,transformer,110011
61,Inner Truth,3,lower,Xun,yin,yin,transformer,110011
61,Inner Truth,2,lower,Xun,yang,yang,transformer,110011
61,Inner Truth,1,lower,Xun,yang,yang,transformer,110011
62,Preponderance of the Small,6,upper,Zhen,yin,yin,dissipator,001100
62,Preponderance of the Small,5,upper,Zhen,yin,yin,dissipator,001100
62,Preponderance of the Small,4,upper,Zhen,yang,yang,dissipator,001100
62,Preponderance of the Small,3,lower,Gen,yang,yang,dissipator,001100
62,Preponderance of the Small,2,lower,Gen,yin,yin,dissipator,001100
62,Preponderance of the Small,1,lower,Gen,yin,yin,dissipator,001100
63,After Completion,6,upper,Li,yang,yang,boundary,101010
63,After Completion,5,upper,Li,yin,yin,boundary,101010
63,After Completion,4,upper,Li,yang,yang,boundary,101010
63,After Completion,3,lower,Kan,yin,yin,boundary,101010
63,After Completion,2,lower,Kan,yang,yang,boundary,101010
63,After Completion,1,lower,Kan,yin,yin,boundary,101010
64,Before Completion,6,upper,Kan,yin,yin,transformer,010101
64,Before Completion,5,upper,Kan,yang,yang,transformer,010101
64,Before Completion,4,upper,Kan,yin,yin,transformer,010101
64,Before Completion,3,lower,Li,yang,yang,transformer,010101
64,Before Completion,2,lower,Li,yin,yin,transformer,010101
64,Before Completion,1,lower,Li,yang,yang,transformer,010101
